month,borough,age,stop
2019-01-01,Bromley,15 - 19,241
2019-01-01,Bromley,20 - 24,165
2019-01-01,Bromley,25 - 29,95
2019-01-01,Camden,15 - 19,182
2019-01-01,Camden,20 - 24,214
2019-01-01,Camden,25 - 29,139
2019-01-01,Croydon,15 - 19,265
2019-01-01,Croydon,20 - 24,186
2019-01-01,Croydon,25 - 29,140
2019-01-01,Ealing,15 - 19,264
2019-01-01,Ealing,20 - 24,228
2019-01-01,Ealing,25 - 29,107
2019-01-01,Enfield,15 - 19,179
2019-01-01,Enfield,20 - 24,178
2019-01-01,Enfield,25 - 29,81
2019-01-01,Greenwich,15 - 19,144
2019-01-01,Greenwich,20 - 24,98
2019-01-01,Greenwich,25 - 29,51
2019-01-01,Hackney,15 - 19,153
2019-01-01,Hackney,20 - 24,164
2019-01-01,Hackney,25 - 29,88
2019-01-01,Hammersmith & Fulham,15 - 19,134
2019-01-01,Hammersmith & Fulham,20 - 24,96
2019-01-01,Hammersmith & Fulham,25 - 29,56
2019-01-01,Haringey,15 - 19,203
2019-01-01,Haringey,20 - 24,245
2019-01-01,Haringey,25 - 29,131
2019-01-01,Harrow,15 - 19,90
2019-01-01,Harrow,20 - 24,75
2019-01-01,Harrow,25 - 29,47
2019-01-01,Havering,15 - 19,51
2019-01-01,Havering,20 - 24,25
2019-01-01,Havering,25 - 29,14
2019-01-01,Hillingdon,15 - 19,164
2019-01-01,Hillingdon,20 - 24,144
2019-01-01,Hillingdon,25 - 29,72
2019-01-01,Hounslow,15 - 19,205
2019-01-01,Hounslow,20 - 24,170
2019-01-01,Hounslow,25 - 29,92
2019-01-01,Islington,15 - 19,147
2019-01-01,Islington,20 - 24,113
2019-01-01,Islington,25 - 29,86
2019-01-01,Kensington & Chelsea,15 - 19,136
2019-01-01,Kensington & Chelsea,20 - 24,130
2019-01-01,Kensington & Chelsea,25 - 29,84
2019-01-01,Kingston upon Thames,15 - 19,47
2019-01-01,Kingston upon Thames,20 - 24,36
2019-01-01,Kingston upon Thames,25 - 29,18
2019-01-01,Lambeth,15 - 19,301
2019-01-01,Lambeth,20 - 24,269
2019-01-01,Lambeth,25 - 29,192
2019-01-01,Lewisham,15 - 19,138
2019-01-01,Lewisham,20 - 24,122
2019-01-01,Lewisham,25 - 29,66
2019-01-01,Merton,15 - 19,36
2019-01-01,Merton,20 - 24,54
2019-01-01,Merton,25 - 29,37
2019-01-01,Newham,15 - 19,310
2019-01-01,Newham,20 - 24,289
2019-01-01,Newham,25 - 29,161
2019-01-01,Redbridge,15 - 19,37
2019-01-01,Redbridge,20 - 24,75
2019-01-01,Redbridge,25 - 29,51
2019-01-01,Richmond upon Thames,15 - 19,42
2019-01-01,Richmond upon Thames,20 - 24,16
2019-01-01,Richmond upon Thames,25 - 29,17
2019-01-01,Southwark,15 - 19,332
2019-01-01,Southwark,20 - 24,254
2019-01-01,Southwark,25 - 29,141
2019-01-01,Sutton,15 - 19,87
2019-01-01,Sutton,20 - 24,51
2019-01-01,Sutton,25 - 29,28
2019-01-01,Tower Hamlets,15 - 19,272
2019-01-01,Tower Hamlets,20 - 24,354
2019-01-01,Tower Hamlets,25 - 29,185
2019-01-01,Waltham Forest,15 - 19,295
2019-01-01,Waltham Forest,20 - 24,189
2019-01-01,Waltham Forest,25 - 29,104
2019-01-01,Wandsworth,15 - 19,85
2019-01-01,Wandsworth,20 - 24,74
2019-01-01,Wandsworth,25 - 29,59
2019-01-01,Westminster,15 - 19,179
2019-01-01,Westminster,20 - 24,215
2019-01-01,Westminster,25 - 29,128
2019-02-01,Aviation Policing,15 - 19,2
2019-02-01,Aviation Policing,20 - 24,3
2019-02-01,Aviation Policing,25 - 29,3
2019-02-01,Barking & Dagenham,15 - 19,56
2019-02-01,Barking & Dagenham,20 - 24,77
2019-02-01,Barking & Dagenham,25 - 29,44
2019-02-01,Barnet,15 - 19,94
2019-02-01,Barnet,20 - 24,69
2019-02-01,Barnet,25 - 29,28
2019-02-01,Bexley,15 - 19,90
2019-02-01,Bexley,20 - 24,72
2019-02-01,Bexley,25 - 29,27
2019-02-01,Brent,15 - 19,171
2019-02-01,Brent,20 - 24,155
2019-02-01,Brent,25 - 29,74
2019-02-01,Bromley,15 - 19,244
2019-02-01,Bromley,20 - 24,121
2019-02-01,Bromley,25 - 29,67
2019-02-01,Camden,15 - 19,164
2019-02-01,Camden,20 - 24,172
2019-02-01,Camden,25 - 29,121
2019-02-01,Croydon,15 - 19,288
2019-02-01,Croydon,20 - 24,241
2019-02-01,Croydon,25 - 29,139
2019-02-01,Ealing,15 - 19,202
2019-02-01,Ealing,20 - 24,200
2019-02-01,Ealing,25 - 29,96
2019-02-01,Enfield,15 - 19,194
2019-02-01,Enfield,20 - 24,177
2019-02-01,Enfield,25 - 29,79
2019-02-01,Greenwich,15 - 19,139
2019-02-01,Greenwich,20 - 24,110
2019-02-01,Greenwich,25 - 29,72
2019-02-01,Hackney,15 - 19,156
2019-02-01,Hackney,20 - 24,188
2019-02-01,Hackney,25 - 29,114
2019-02-01,Hammersmith & Fulham,15 - 19,121
2019-02-01,Hammersmith & Fulham,20 - 24,72
2019-02-01,Hammersmith & Fulham,25 - 29,53
2019-02-01,Haringey,15 - 19,265
2019-02-01,Haringey,20 - 24,246
2019-02-01,Haringey,25 - 29,163
2019-02-01,Harrow,15 - 19,81
2019-02-01,Harrow,20 - 24,73
2019-02-01,Harrow,25 - 29,41
2019-02-01,Havering,15 - 19,94
2019-02-01,Havering,20 - 24,45
2019-02-01,Havering,25 - 29,25
2019-02-01,Hillingdon,15 - 19,195
2019-02-01,Hillingdon,20 - 24,160
2019-02-01,Hillingdon,25 - 29,75
2019-02-01,Hounslow,15 - 19,241
2019-02-01,Hounslow,20 - 24,192
2019-02-01,Hounslow,25 - 29,135
2019-02-01,Islington,15 - 19,201
2019-02-01,Islington,20 - 24,138
2019-02-01,Islington,25 - 29,89
2019-02-01,Kensington & Chelsea,15 - 19,115
2019-02-01,Kensington & Chelsea,20 - 24,123
2019-02-01,Kensington & Chelsea,25 - 29,76
2019-02-01,Kingston upon Thames,15 - 19,61
2019-02-01,Kingston upon Thames,20 - 24,33
2019-02-01,Kingston upon Thames,25 - 29,11
2019-02-01,Lambeth,15 - 19,385
2019-02-01,Lambeth,20 - 24,340
2019-02-01,Lambeth,25 - 29,214
2019-02-01,Lewisham,15 - 19,104
2019-02-01,Lewisham,20 - 24,94
2019-02-01,Lewisham,25 - 29,59
2019-02-01,Merton,15 - 19,48
2019-02-01,Merton,20 - 24,44
2019-02-01,Merton,25 - 29,25
2019-02-01,Newham,15 - 19,300
2019-02-01,Newham,20 - 24,321
2019-02-01,Newham,25 - 29,161
2019-02-01,Redbridge,15 - 19,98
2019-02-01,Redbridge,20 - 24,66
2019-02-01,Redbridge,25 - 29,57
2019-02-01,Richmond upon Thames,15 - 19,23
2019-02-01,Richmond upon Thames,20 - 24,4
2019-02-01,Richmond upon Thames,25 - 29,7
2019-02-01,Southwark,15 - 19,390
2019-02-01,Southwark,20 - 24,301
2019-02-01,Southwark,25 - 29,148
2019-02-01,Sutton,15 - 19,75
2019-02-01,Sutton,20 - 24,47
2019-02-01,Sutton,25 - 29,32
2019-02-01,Tower Hamlets,15 - 19,277
2019-02-01,Tower Hamlets,20 - 24,336
2019-02-01,Tower Hamlets,25 - 29,201
2019-02-01,Waltham Forest,15 - 19,169
2019-02-01,Waltham Forest,20 - 24,172
2019-02-01,Waltham Forest,25 - 29,89
2019-02-01,Wandsworth,15 - 19,59
2019-02-01,Wandsworth,20 - 24,90
2019-02-01,Wandsworth,25 - 29,30
2019-02-01,Westminster,15 - 19,168
2019-02-01,Westminster,20 - 24,252
2019-02-01,Westminster,25 - 29,153
2019-03-01,Aviation Policing,15 - 19,5
2019-03-01,Aviation Policing,20 - 24,5
2019-03-01,Aviation Policing,25 - 29,7
2019-03-01,Barking & Dagenham,15 - 19,216
2019-03-01,Barking & Dagenham,20 - 24,154
2019-03-01,Barking & Dagenham,25 - 29,84
2019-03-01,Barnet,15 - 19,195
2019-03-01,Barnet,20 - 24,110
2019-03-01,Barnet,25 - 29,69
2019-03-01,Bexley,15 - 19,102
2019-03-01,Bexley,20 - 24,84
2019-03-01,Bexley,25 - 29,57
2019-03-01,Brent,15 - 19,319
2019-03-01,Brent,20 - 24,223
2019-03-01,Brent,25 - 29,123
2019-03-01,Bromley,15 - 19,188
2019-03-01,Bromley,20 - 24,127
2019-03-01,Bromley,25 - 29,92
2019-03-01,Camden,15 - 19,197
2019-03-01,Camden,20 - 24,266
2019-03-01,Camden,25 - 29,164
2019-03-01,Croydon,15 - 19,407
2019-03-01,Croydon,20 - 24,262
2019-03-01,Croydon,25 - 29,185
2019-03-01,Ealing,15 - 19,444
2019-03-01,Ealing,20 - 24,298
2019-03-01,Ealing,25 - 29,171
2019-03-01,Enfield,15 - 19,196
2019-03-01,Enfield,20 - 24,211
2019-03-01,Enfield,25 - 29,75
2019-03-01,Greenwich,15 - 19,216
2019-03-01,Greenwich,20 - 24,166
2019-03-01,Greenwich,25 - 29,75
2019-03-01,Hackney,15 - 19,275
2019-03-01,Hackney,20 - 24,290
2019-03-01,Hackney,25 - 29,152
2019-03-01,Hammersmith & Fulham,15 - 19,208
2019-03-01,Hammersmith & Fulham,20 - 24,128
2019-03-01,Hammersmith & Fulham,25 - 29,65
2019-03-01,Haringey,15 - 19,364
2019-03-01,Haringey,20 - 24,244
2019-03-01,Haringey,25 - 29,184
2019-03-01,Harrow,15 - 19,98
2019-03-01,Harrow,20 - 24,80
2019-03-01,Harrow,25 - 29,36
2019-03-01,Havering,15 - 19,216
2019-03-01,Havering,20 - 24,95
2019-03-01,Havering,25 - 29,48
2019-03-01,Hillingdon,15 - 19,209
2019-03-01,Hillingdon,20 - 24,167
2019-03-01,Hillingdon,25 - 29,110
2019-03-01,Hounslow,15 - 19,285
2019-03-01,Hounslow,20 - 24,237
2019-03-01,Hounslow,25 - 29,123
2019-03-01,Islington,15 - 19,182
2019-03-01,Islington,20 - 24,184
2019-03-01,Islington,25 - 29,105
2019-03-01,Kensington & Chelsea,15 - 19,175
2019-03-01,Kensington & Chelsea,20 - 24,137
2019-03-01,Kensington & Chelsea,25 - 29,78
2019-03-01,Kingston upon Thames,15 - 19,119
2019-03-01,Kingston upon Thames,20 - 24,87
2019-03-01,Kingston upon Thames,25 - 29,50
2019-03-01,Lambeth,15 - 19,441
2019-03-01,Lambeth,20 - 24,411
2019-03-01,Lambeth,25 - 29,280
2019-03-01,Lewisham,15 - 19,176
2019-03-01,Lewisham,20 - 24,93
2019-03-01,Lewisham,25 - 29,64
2019-03-01,Merton,15 - 19,75
2019-03-01,Merton,20 - 24,41
2019-03-01,Merton,25 - 29,29
2019-03-01,Newham,15 - 19,463
2019-03-01,Newham,20 - 24,397
2019-03-01,Newham,25 - 29,207
2019-03-01,Redbridge,15 - 19,294
2019-03-01,Redbridge,20 - 24,185
2019-03-01,Redbridge,25 - 29,143
2019-03-01,Richmond upon Thames,15 - 19,39
2019-03-01,Richmond upon Thames,20 - 24,25
2019-03-01,Richmond upon Thames,25 - 29,19
2019-03-01,Southwark,15 - 19,439
2019-03-01,Southwark,20 - 24,342
2019-03-01,Southwark,25 - 29,198
2019-03-01,Sutton,15 - 19,106
2019-03-01,Sutton,20 - 24,67
2019-03-01,Sutton,25 - 29,44
2019-03-01,Tower Hamlets,15 - 19,501
2019-03-01,Tower Hamlets,20 - 24,565
2019-03-01,Tower Hamlets,25 - 29,266
2019-03-01,Waltham Forest,15 - 19,353
2019-03-01,Waltham Forest,20 - 24,272
2019-03-01,Waltham Forest,25 - 29,154
2019-03-01,Wandsworth,15 - 19,96
2019-03-01,Wandsworth,20 - 24,98
2019-03-01,Wandsworth,25 - 29,56
2019-03-01,Westminster,15 - 19,382
2019-03-01,Westminster,20 - 24,455
2019-03-01,Westminster,25 - 29,345
2019-04-01,Aviation Policing,15 - 19,3
2019-04-01,Aviation Policing,20 - 24,4
2019-04-01,Aviation Policing,25 - 29,7
2019-04-01,Barking & Dagenham,15 - 19,157
2019-04-01,Barking & Dagenham,20 - 24,116
2019-04-01,Barking & Dagenham,25 - 29,75
2019-04-01,Barnet,15 - 19,106
2019-04-01,Barnet,20 - 24,74
2019-04-01,Barnet,25 - 29,56
2019-04-01,Bexley,15 - 19,129
2019-04-01,Bexley,20 - 24,76
2019-04-01,Bexley,25 - 29,36
2019-04-01,Brent,15 - 19,285
2019-04-01,Brent,20 - 24,217
2019-04-01,Brent,25 - 29,120
2019-04-01,Bromley,15 - 19,223
2019-04-01,Bromley,20 - 24,112
2019-04-01,Bromley,25 - 29,59
2019-04-01,Camden,15 - 19,166
2019-04-01,Camden,20 - 24,228
2019-04-01,Camden,25 - 29,174
2019-04-01,Croydon,15 - 19,291
2019-04-01,Croydon,20 - 24,204
2019-04-01,Croydon,25 - 29,118
2019-04-01,Ealing,15 - 19,199
2019-04-01,Ealing,20 - 24,171
2019-04-01,Ealing,25 - 29,81
2019-04-01,Enfield,15 - 19,209
2019-04-01,Enfield,20 - 24,193
2019-04-01,Enfield,25 - 29,82
2019-04-01,Greenwich,15 - 19,133
2019-04-01,Greenwich,20 - 24,98
2019-04-01,Greenwich,25 - 29,60
2019-04-01,Hackney,15 - 19,260
2019-04-01,Hackney,20 - 24,219
2019-04-01,Hackney,25 - 29,143
2019-04-01,Hammersmith & Fulham,15 - 19,182
2019-04-01,Hammersmith & Fulham,20 - 24,124
2019-04-01,Hammersmith & Fulham,25 - 29,95
2019-04-01,Haringey,15 - 19,142
2019-04-01,Haringey,20 - 24,162
2019-04-01,Haringey,25 - 29,109
2019-04-01,Harrow,15 - 19,124
2019-04-01,Harrow,20 - 24,109
2019-04-01,Harrow,25 - 29,40
2019-04-01,Havering,15 - 19,105
2019-04-01,Havering,20 - 24,60
2019-04-01,Havering,25 - 29,31
2019-04-01,Hillingdon,15 - 19,149
2019-04-01,Hillingdon,20 - 24,144
2019-04-01,Hillingdon,25 - 29,80
2019-04-01,Hounslow,15 - 19,208
2019-04-01,Hounslow,20 - 24,194
2019-04-01,Hounslow,25 - 29,107
2019-04-01,Islington,15 - 19,182
2019-04-01,Islington,20 - 24,115
2019-04-01,Islington,25 - 29,89
2019-04-01,Kensington & Chelsea,15 - 19,147
2019-04-01,Kensington & Chelsea,20 - 24,120
2019-04-01,Kensington & Chelsea,25 - 29,73
2019-04-01,Kingston upon Thames,15 - 19,81
2019-04-01,Kingston upon Thames,20 - 24,49
2019-04-01,Kingston upon Thames,25 - 29,14
